experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,frozen_step,frozen
f_sweep,axelrod_f_sweep,128,lattice,10,10,100,180,3.6,4,3,5,200000,0,64,5,136000,True
f_sweep,axelrod_f_sweep,129,lattice,10,10,100,180,3.6,4,3,5,200000,0,65,3,38000,True
f_sweep,axelrod_f_sweep,130,lattice,10,10,100,180,3.6,4,3,5,200000,0,64,4,53100,True
f_sweep,axelrod_f_sweep,131,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,3,92000,True
f_sweep,axelrod_f_sweep,132,lattice,10,10,100,180,3.6,4,3,5,200000,0,74,5,57800,True
f_sweep,axelrod_f_sweep,133,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,1,63300,True
f_sweep,axelrod_f_sweep,134,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,1,39600,True
f_sweep,axelrod_f_sweep,135,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,1,48700,True
f_sweep,axelrod_f_sweep,136,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,1,60200,True
f_sweep,axelrod_f_sweep,137,lattice,10,10,100,180,3.6,4,3,5,200000,0,63,2,45200,True
f_sweep,axelrod_f_sweep,138,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,2,49400,True
f_sweep,axelrod_f_sweep,139,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,3,48300,True
f_sweep,axelrod_f_sweep,140,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,1,53100,True
f_sweep,axelrod_f_sweep,141,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,2,94200,True
f_sweep,axelrod_f_sweep,142,lattice,10,10,100,180,3.6,4,3,5,200000,0,75,3,54800,True
f_sweep,axelrod_f_sweep,143,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,4,34400,True
f_sweep,axelrod_f_sweep,144,lattice,10,10,100,180,3.6,4,3,5,200000,0,65,2,83900,True
f_sweep,axelrod_f_sweep,145,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,3,39100,True
f_sweep,axelrod_f_sweep,146,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,8,37300,True
f_sweep,axelrod_f_sweep,147,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,3,35800,True
f_sweep,axelrod_f_sweep,148,lattice,10,10,100,180,3.6,4,3,5,200000,0,75,2,39200,True
f_sweep,axelrod_f_sweep,149,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,5,102600,True
f_sweep,axelrod_f_sweep,150,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,5,62400,True
f_sweep,axelrod_f_sweep,151,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,5,61700,True
f_sweep,axelrod_f_sweep,152,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,2,66000,True
f_sweep,axelrod_f_sweep,153,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,3,38900,True
